alias,canonical_uri,canonical_label,language,source
ehr,http://data.europa.eu/esco/skill/53141450-2fa9-4890-a64e-7ffd4e1144be,use electronic health records management system,en,custom_patch
consultative sales,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,en,custom_patch
procurement,http://data.europa.eu/esco/skill/29cd7e7b-215c-483a-b67a-6bdad0647de9,develop procurement strategy,en,custom_patch
incident response,http://data.europa.eu/esco/skill/440d5784-52a5-4729-8b04-29f978bd896d,respond to incidents in cloud,en,custom_patch
data governance,http://data.europa.eu/esco/skill/9a0d0abc-010d-440b-8242-7e31510471ba,information governance compliance,en,custom_patch
quality control,http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3,quality assurance procedures,en,custom_patch
azure,http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0,cloud technologies,en,custom_patch
rust,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,en,custom_patch
site reliability engineering,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,en,custom_patch
system architecture,http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9,system design,en,custom_patch
microservices architecture,http://data.europa.eu/esco/skill/897b393f-e7e0-4248-a40d-d77119694e83,distributed computing,en,custom_patch
scalable systems,http://data.europa.eu/esco/skill/897b393f-e7e0-4248-a40d-d77119694e83,distributed computing,en,custom_patch
high availability,http://data.europa.eu/esco/skill/897b393f-e7e0-4248-a40d-d77119694e83,distributed computing,en,custom_patch
observability,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,en,custom_patch
